User_ID,Age,Gender,Height_cm,Weight_kg,BMI,Workout_Type,Workout_Duration_min,Heart_Rate_avg,Intensity_Level,Diet_Type,Sleep_Hours,Hydration_Liters,Workout_Frequency,Calories_Burned
U01470,32.0,Male,158.0,83.0,34.71,Yoga,91.0,99.0,High,Invalid,6.4,1.3,3.0,Medium
Other,,Female,171.0,77.0,21.48,Strength,78.0,98.0,Low,Other,5.9,1.5,,Low
Other,26.0,N/A,167.0,99.0,28.25,Invalid,22.0,77.0,Medium,Other,4.8,2.4,3.0,Low
N/A,25.0,Male,161.0,51.0,19.98,N/A,24.0,92.0,Low,Vegan,,0.6,6.0,High
U01474,40.0,Unknown,159.0,75.0,30.61,Cardio,104.0,98.0,N/A,Vegetarian,4.4,1.0,2.0,Low
Invalid,46.0,Invalid,160.0,100.0,34.91,Invalid,114.0,73.0,High,Vegetarian,8.3,2.7,4.0,N/A
U01476,,Invalid,156.0,96.0,32.02,Strength,97.0,60.0,Medium,Other,4.2,0.9,5.0,N/A
U01477,48.0,Female,158.0,75.0,27.67,Yoga,102.0,72.0,N/A,Mixed,5.9,2.4,2.0,Low
,47.0,Invalid,155.0,110.0,26.5,Yoga,56.0,74.0,Unknown,Mixed,4.5,1.4,4.0,Low
Invalid,56.0,Unknown,168.0,180.0,32.28,Invalid,103.0,,Medium,Vegan,7.9,2.2,3.0,Medium
U01480,52.0,Female,165.0,86.0,33.94,Cardio,71.0,64.0,Medium,Other,5.6,0.7,1.0,Medium
Unknown,35.0,Male,179.0,90.0,34.82,Other,85.0,73.0,Other,Mixed,4.6,1.2,3.0,Other
Invalid,59.0,Unknown,164.0,101.0,25.04,Yoga,82.0,73.0,N/A,Unknown,6.7,1.6,4.0,High
U01483,56.0,Male,156.0,98.0,,Yoga,26.0,64.0,Medium,Invalid,8.6,2.6,4.0,Unknown
U01484,,Female,165.0,76.0,21.07,Unknown,116.0,70.0,Medium,Other,8.5,1.9,1.0,High
N/A,31.0,Female,154.0,55.0,22.68,N/A,72.0,91.0,Medium,Mixed,5.2,0.6,6.0,N/A
U01486,48.0,Male,,115.0,19.97,N/A,25.0,64.0,Low,Other,7.6,2.5,2.0,Low
U01487,41.0,Male,150.0,,22.98,Other,26.0,95.0,Medium,Vegan,4.2,0.6,6.0,Invalid
Unknown,52.0,,168.0,87.0,31.17,Strength,63.0,74.0,Invalid,Other,4.7,2.8,1.0,High
U01489,61.0,Female,154.0,77.0,32.57,Invalid,37.0,66.0,N/A,Vegetarian,6.5,1.0,3.0,Medium
U01490,62.0,Female,156.0,77.0,31.35,Unknown,73.0,64.0,High,Vegetarian,,1.7,5.0,Unknown
Other,51.0,N/A,168.0,115.0,28.91,Yoga,48.0,89.0,Low,Vegan,8.0,0.7,2.0,Low
U01492,20.0,Invalid,171.0,110.0,26.98,Unknown,102.0,74.0,Medium,Mixed,8.7,1.9,5.0,Unknown
N/A,54.0,Female,154.0,95.0,30.19,Strength,44.0,89.0,Unknown,Other,4.0,1.7,5.0,Medium
U01494,60.0,Male,178.0,118.0,24.95,Strength,82.0,73.0,High,Vegetarian,,1.5,2.0,Other
U01495,57.0,Male,166.0,92.0,32.38,N/A,87.0,83.0,Low,Vegetarian,6.2,0.6,3.0,Invalid
U01496,,N/A,175.0,108.0,29.67,Invalid,32.0,83.0,Medium,Vegan,6.8,2.7,6.0,Low
U01497,40.0,Female,171.0,51.0,30.01,Strength,51.0,94.0,Medium,Invalid,8.6,2.5,4.0,High
Unknown,61.0,Male,179.0,64.0,,Strength,46.0,64.0,High,Invalid,8.5,2.1,3.0,Unknown
,56.0,Male,157.0,86.0,33.11,Cardio,70.0,71.0,Low,Vegan,7.2,1.9,6.0,Low
U01500,32.0,Other,178.0,69.0,22.66,Cardio,53.0,,N/A,Unknown,15.0,2.2,,Invalid
U01501,21.0,Male,178.0,84.0,24.79,Invalid,47.0,64.0,High,,15.0,0.9,4.0,N/A
U01502,46.0,Female,250.0,83.0,31.33,Strength,,95.0,Other,N/A,5.0,2.8,2.0,High
Other,39.0,Other,151.0,80.0,26.63,Other,91.0,80.0,Medium,Other,15.0,1.2,2.0,High
U01504,42.0,Unknown,179.0,68.0,33.17,Unknown,104.0,98.0,Unknown,Vegan,4.0,2.1,1.0,Medium
Other,30.0,N/A,164.0,117.0,24.22,Cardio,49.0,62.0,Other,Vegan,6.8,2.0,6.0,
U01506,35.0,,169.0,73.0,24.59,Cardio,112.0,,N/A,Mixed,,2.1,5.0,High
Other,50.0,Unknown,177.0,88.0,,Other,28.0,84.0,Medium,Vegan,6.0,2.7,5.0,Medium
Unknown,33.0,N/A,167.0,103.0,26.16,Yoga,32.0,86.0,Low,Mixed,7.2,1.2,5.0,High
Unknown,62.0,N/A,160.0,88.0,27.02,Yoga,101.0,95.0,Unknown,Invalid,7.4,2.4,5.0,Low
U01510,99.0,Other,174.0,66.0,23.99,Invalid,83.0,,Other,Other,7.9,2.0,1.0,Unknown
U01511,61.0,Invalid,159.0,68.0,23.07,N/A,57.0,97.0,Medium,N/A,7.0,0.7,4.0,High
U01512,19.0,N/A,173.0,97.0,29.32,Yoga,41.0,94.0,Other,Other,5.3,10.0,1.0,Medium
U01513,52.0,Invalid,173.0,84.0,20.48,N/A,,60.0,Invalid,Mixed,8.4,2.6,6.0,
U01514,59.0,Male,153.0,81.0,33.01,Unknown,118.0,,Unknown,Mixed,8.1,1.3,2.0,N/A
U01515,51.0,Male,154.0,96.0,31.36,Strength,61.0,83.0,Medium,Unknown,4.8,1.7,3.0,Low
U01516,47.0,Unknown,153.0,96.0,21.65,Cardio,81.0,67.0,,Mixed,8.1,1.7,4.0,N/A
U01517,30.0,Female,162.0,113.0,29.95,Other,83.0,98.0,Unknown,N/A,8.9,2.0,4.0,Medium
U01518,30.0,Other,,95.0,28.44,Unknown,93.0,77.0,Low,Vegetarian,7.2,2.7,1.0,N/A
,35.0,,162.0,84.0,21.54,Yoga,28.0,62.0,Medium,Invalid,5.4,0.9,2.0,Medium
U01520,49.0,N/A,167.0,66.0,23.01,Yoga,114.0,77.0,High,N/A,7.0,1.8,2.0,High
U01521,49.0,Other,178.0,91.0,25.25,N/A,63.0,75.0,High,Mixed,5.7,1.6,6.0,High
U01522,52.0,Unknown,176.0,78.0,,Strength,82.0,91.0,Medium,Invalid,7.4,1.2,4.0,Low
U01523,56.0,Invalid,173.0,119.0,29.04,Cardio,59.0,60.0,High,Vegetarian,6.7,2.8,1.0,Low
U01524,63.0,Male,151.0,66.0,27.28,N/A,107.0,85.0,Unknown,N/A,8.6,0.5,5.0,Unknown
N/A,46.0,Invalid,,63.0,31.18,Unknown,60.0,71.0,Medium,Invalid,7.1,0.8,4.0,Unknown
U01526,46.0,Invalid,150.0,73.0,31.01,N/A,,97.0,N/A,Vegetarian,5.1,10.0,5.0,High
U01527,61.0,Female,175.0,,28.69,Cardio,69.0,80.0,Low,Vegan,7.6,1.2,3.0,Medium
U01528,33.0,Male,168.0,99.0,31.49,Yoga,39.0,72.0,Medium,Vegetarian,5.5,2.3,2.0,Low
Invalid,,Male,158.0,106.0,24.02,Cardio,100.0,71.0,Low,Vegan,5.4,2.6,4.0,Unknown
U01530,64.0,N/A,177.0,110.0,33.04,Yoga,111.0,72.0,Medium,Unknown,6.0,1.1,3.0,High
Invalid,27.0,N/A,152.0,88.0,28.65,Strength,89.0,77.0,N/A,Vegan,4.1,1.0,5.0,Unknown
U01532,47.0,Other,174.0,104.0,32.07,Strength,61.0,78.0,High,,8.8,0.9,4.0,Low
Invalid,42.0,Female,156.0,85.0,27.51,Yoga,52.0,78.0,Low,Vegetarian,6.7,,3.0,Invalid
U01534,56.0,Male,178.0,86.0,22.1,Cardio,111.0,65.0,Other,Vegan,7.9,1.2,4.0,Unknown
Other,37.0,Female,159.0,63.0,27.45,Other,82.0,66.0,Low,Mixed,5.3,2.7,3.0,
U01536,22.0,Female,150.0,76.0,24.62,Invalid,76.0,,Low,Unknown,7.7,2.4,3.0,N/A
U01537,18.0,Other,159.0,80.0,30.01,Yoga,84.0,87.0,,Invalid,6.8,0.5,5.0,High
Invalid,47.0,Other,170.0,93.0,26.35,N/A,71.0,87.0,Medium,Vegan,6.1,2.7,2.0,Low
Other,20.0,N/A,158.0,117.0,32.3,Yoga,118.0,78.0,,N/A,8.9,0.7,,Medium
U01540,62.0,Male,177.0,97.0,29.69,Yoga,107.0,,N/A,Mixed,15.0,2.1,3.0,Medium
U01541,31.0,Female,164.0,106.0,29.79,Cardio,25.0,76.0,Medium,,7.3,0.9,2.0,Medium
U01542,47.0,Unknown,164.0,71.0,22.08,Other,26.0,81.0,Unknown,Mixed,4.1,0.7,6.0,High
U01543,21.0,Male,152.0,53.0,34.74,Other,28.0,78.0,High,Vegan,5.5,,1.0,Medium
Invalid,35.0,Female,174.0,95.0,32.39,N/A,80.0,88.0,Low,Mixed,8.4,,5.0,Medium
U01545,54.0,Unknown,154.0,108.0,31.52,N/A,99.0,78.0,Low,Mixed,7.8,2.0,4.0,Invalid
Invalid,42.0,Unknown,158.0,,23.95,Yoga,53.0,94.0,High,Vegan,6.7,1.6,2.0,Medium
U01547,18.0,Female,175.0,60.0,,Cardio,,84.0,Low,Vegetarian,8.5,0.7,4.0,Low
U01548,63.0,Female,171.0,80.0,20.76,Other,118.0,79.0,High,N/A,6.4,,4.0,High
U01549,32.0,Female,158.0,60.0,27.38,Other,,96.0,Invalid,Vegan,,2.6,1.0,Low
Other,26.0,Male,172.0,105.0,20.91,Strength,77.0,78.0,Low,Vegan,5.9,0.6,6.0,Medium
U01551,,Female,,87.0,27.63,Other,106.0,72.0,Low,N/A,7.1,1.4,,High
U01552,,Other,173.0,70.0,29.2,Invalid,79.0,71.0,N/A,Vegan,5.6,1.9,,Medium
,21.0,Male,172.0,59.0,24.94,Yoga,73.0,74.0,Other,N/A,5.9,2.0,6.0,Unknown
Unknown,,Male,161.0,75.0,26.73,Cardio,54.0,63.0,Medium,Vegan,,1.9,1.0,Medium
Other,54.0,Unknown,174.0,57.0,32.95,Other,66.0,74.0,N/A,Mixed,4.6,2.2,2.0,Unknown
U01556,54.0,Male,,57.0,20.29,Unknown,65.0,76.0,High,N/A,4.5,2.9,3.0,Low
Unknown,60.0,Female,158.0,109.0,31.56,Strength,106.0,86.0,Invalid,Vegan,4.2,1.5,,Invalid
Invalid,23.0,Female,155.0,83.0,21.32,Yoga,23.0,70.0,Invalid,Mixed,5.6,1.9,5.0,Medium
Invalid,56.0,Male,172.0,65.0,19.11,Cardio,29.0,82.0,Invalid,Other,6.0,2.2,5.0,Medium
Other,63.0,N/A,151.0,62.0,21.56,Strength,94.0,74.0,High,Mixed,4.5,2.0,1.0,
U01561,41.0,Male,158.0,71.0,31.12,Unknown,59.0,90.0,Other,N/A,6.7,1.5,6.0,Unknown
U01562,28.0,Invalid,250.0,76.0,25.18,,74.0,85.0,High,Vegan,6.9,2.1,3.0,Other
U01563,30.0,Female,250.0,113.0,32.9,Unknown,,66.0,Unknown,Mixed,7.8,2.1,3.0,
Other,51.0,Male,166.0,51.0,27.16,Strength,59.0,72.0,Invalid,Vegan,8.9,2.0,5.0,High
Unknown,42.0,Male,150.0,75.0,18.87,Other,,72.0,Medium,Vegetarian,7.1,,3.0,Low
Invalid,24.0,,168.0,118.0,30.33,Unknown,100.0,79.0,Medium,Vegan,4.6,1.8,2.0,Medium
Invalid,21.0,N/A,177.0,79.0,20.32,Yoga,115.0,93.0,Invalid,Vegan,4.4,,2.0,Low
N/A,25.0,Male,155.0,57.0,31.52,Unknown,42.0,69.0,Medium,Mixed,,2.7,5.0,Low
Invalid,37.0,Female,,87.0,,Other,34.0,96.0,Other,Vegan,7.3,2.4,4.0,Low
N/A,,Female,151.0,110.0,24.2,Cardio,111.0,86.0,Low,Vegan,4.8,2.2,4.0,Medium
U01571,62.0,Other,158.0,114.0,31.06,Cardio,24.0,93.0,Medium,Vegan,5.3,0.9,4.0,Invalid
U01572,63.0,Male,179.0,,34.24,Strength,59.0,95.0,Medium,Unknown,7.8,1.6,5.0,High
Invalid,27.0,Other,178.0,95.0,24.63,Cardio,37.0,75.0,Medium,Mixed,6.8,0.8,1.0,Low
Invalid,60.0,Female,175.0,92.0,32.19,N/A,40.0,80.0,High,N/A,6.9,2.5,3.0,Low
Invalid,51.0,Male,163.0,108.0,21.65,Invalid,98.0,75.0,Invalid,Vegan,,1.2,2.0,N/A
N/A,43.0,Male,153.0,95.0,31.82,Invalid,22.0,76.0,Invalid,Unknown,7.1,2.4,,Medium
U01577,58.0,Female,153.0,84.0,29.35,Strength,,74.0,Low,Vegetarian,7.9,2.5,2.0,High
U01578,20.0,Other,170.0,88.0,21.68,Yoga,109.0,72.0,Other,Vegetarian,8.4,2.7,6.0,Invalid
U01579,23.0,Female,164.0,,23.49,Invalid,98.0,92.0,Low,Vegan,7.7,2.4,1.0,Medium
Unknown,22.0,Female,157.0,53.0,20.67,Cardio,72.0,64.0,N/A,Unknown,6.9,1.9,3.0,Medium
U01581,22.0,Invalid,175.0,100.0,24.82,Yoga,39.0,86.0,Invalid,Vegetarian,7.4,2.0,4.0,Invalid
Other,64.0,Male,153.0,54.0,21.86,Unknown,78.0,60.0,Medium,Unknown,6.4,1.3,6.0,High
Invalid,40.0,Other,165.0,104.0,29.13,Unknown,40.0,89.0,Unknown,Vegetarian,5.1,0.9,2.0,Unknown
U01584,26.0,Female,170.0,69.0,34.91,Cardio,109.0,82.0,High,Vegan,8.4,0.8,,High
U01585,52.0,,,73.0,18.7,Other,106.0,74.0,Invalid,Invalid,6.7,1.0,4.0,Invalid
U01586,37.0,Male,153.0,85.0,27.43,Yoga,300.0,95.0,Unknown,Vegan,7.0,2.8,5.0,Unknown
Invalid,59.0,Female,179.0,83.0,,Yoga,44.0,78.0,High,Vegetarian,,0.9,5.0,N/A
Invalid,52.0,Invalid,165.0,103.0,33.58,Yoga,87.0,89.0,N/A,Vegetarian,8.9,2.3,3.0,High
U01589,35.0,Male,171.0,83.0,,Unknown,29.0,75.0,Invalid,N/A,6.9,1.0,2.0,Low
U01590,,Invalid,161.0,66.0,27.47,Unknown,105.0,77.0,Unknown,Vegetarian,4.2,2.9,5.0,High
Invalid,41.0,Female,165.0,54.0,26.28,Invalid,86.0,85.0,Low,Invalid,6.0,,3.0,N/A
N/A,20.0,Other,168.0,67.0,22.94,Strength,102.0,76.0,High,N/A,8.7,1.5,1.0,High
U01593,49.0,Female,157.0,104.0,19.42,Strength,114.0,70.0,High,Mixed,5.4,1.5,4.0,High
Other,52.0,Unknown,155.0,102.0,25.24,Unknown,28.0,,Low,Vegetarian,9.0,2.5,2.0,Low
Invalid,55.0,Male,159.0,99.0,19.37,Strength,48.0,68.0,Unknown,Vegetarian,4.4,1.0,2.0,Medium
Other,30.0,Other,,94.0,27.58,N/A,56.0,76.0,Low,Vegetarian,6.8,2.6,3.0,High
U01597,64.0,Male,178.0,62.0,23.57,Strength,90.0,86.0,Unknown,Vegan,6.6,2.1,5.0,Low
U01598,,Female,167.0,65.0,27.3,Other,57.0,96.0,Unknown,Vegetarian,5.3,1.1,4.0,Unknown
U01599,26.0,Invalid,159.0,,20.72,N/A,107.0,81.0,High,Unknown,8.7,,4.0,Medium
N/A,99.0,Female,159.0,180.0,33.89,Cardio,91.0,67.0,Medium,Vegetarian,7.1,2.4,2.0,
U01601,31.0,N/A,156.0,115.0,33.26,Invalid,117.0,62.0,Invalid,Invalid,,1.0,2.0,Unknown
U01602,54.0,N/A,,96.0,21.63,Cardio,78.0,97.0,Invalid,Vegan,5.9,2.7,4.0,Low
U01603,51.0,Other,150.0,68.0,24.17,Yoga,76.0,94.0,N/A,Vegan,7.6,0.8,1.0,High
U01604,28.0,Female,156.0,94.0,28.62,Cardio,,91.0,Invalid,Mixed,5.5,2.0,3.0,High
U01605,58.0,Male,170.0,86.0,,Other,79.0,67.0,Medium,Vegan,8.4,2.2,1.0,Medium
Unknown,20.0,Male,150.0,180.0,24.35,Unknown,47.0,,Other,N/A,4.8,2.1,5.0,Medium
U01607,45.0,Male,164.0,55.0,22.64,Unknown,300.0,91.0,Invalid,Other,5.3,1.3,1.0,Invalid
U01608,46.0,Male,153.0,63.0,33.61,Strength,65.0,95.0,Invalid,,4.7,2.7,1.0,Other
Invalid,26.0,Other,,53.0,32.57,Yoga,90.0,93.0,,Vegetarian,4.5,,5.0,Low
U01610,20.0,Male,178.0,104.0,28.07,Invalid,86.0,84.0,Unknown,Vegetarian,5.5,1.8,6.0,High
Unknown,42.0,Female,169.0,83.0,27.09,Yoga,105.0,90.0,High,Other,9.0,2.0,,Unknown
Unknown,51.0,Female,159.0,76.0,33.86,Other,74.0,72.0,High,Vegetarian,4.5,1.9,3.0,N/A
U01613,29.0,Invalid,,56.0,33.89,Cardio,57.0,74.0,Other,Vegetarian,,2.9,4.0,High
,59.0,Male,158.0,52.0,34.49,Yoga,37.0,72.0,Unknown,Mixed,5.4,2.7,1.0,Medium
Unknown,26.0,Male,151.0,96.0,20.57,Strength,95.0,92.0,N/A,Vegan,7.1,1.1,3.0,Other
Unknown,32.0,N/A,177.0,51.0,,N/A,114.0,90.0,Low,Vegetarian,7.7,1.2,5.0,High
Other,57.0,N/A,,74.0,29.67,Yoga,82.0,,Other,Mixed,7.8,3.0,6.0,Low
U01618,42.0,Female,165.0,,27.43,Other,24.0,99.0,High,Unknown,4.0,1.1,3.0,Other
Other,22.0,Male,150.0,73.0,18.8,Cardio,63.0,82.0,Unknown,Vegetarian,7.3,2.9,6.0,Other
Other,28.0,Female,151.0,64.0,19.52,Strength,48.0,97.0,High,Invalid,7.2,2.1,1.0,N/A
Unknown,51.0,Female,156.0,63.0,33.15,Strength,119.0,62.0,Medium,Invalid,6.6,0.6,4.0,Invalid
U01622,41.0,Female,178.0,103.0,32.84,Yoga,33.0,75.0,N/A,Vegetarian,5.9,,5.0,Unknown
U01623,32.0,Other,159.0,55.0,24.39,Yoga,77.0,61.0,Low,Vegetarian,8.0,1.7,5.0,Medium
Other,55.0,Female,171.0,67.0,33.2,Yoga,300.0,82.0,N/A,Other,5.7,2.6,1.0,Medium
U01625,25.0,Other,169.0,69.0,28.3,N/A,37.0,93.0,Medium,Vegan,5.2,1.3,6.0,Medium
U01626,22.0,Male,150.0,111.0,31.8,Strength,26.0,89.0,High,Mixed,5.6,1.3,3.0,High
U01627,43.0,Female,162.0,89.0,,Unknown,106.0,69.0,Unknown,Other,6.2,2.8,4.0,Low
U01628,35.0,Female,150.0,88.0,20.37,Strength,116.0,60.0,High,Mixed,5.1,0.7,5.0,Medium
U01629,23.0,Other,154.0,101.0,25.66,Yoga,81.0,81.0,N/A,Other,7.0,1.9,1.0,Medium
U01630,54.0,Unknown,,,26.05,Strength,64.0,92.0,Low,Unknown,8.4,1.8,1.0,N/A
N/A,30.0,N/A,164.0,76.0,27.59,N/A,35.0,84.0,Other,,7.0,0.6,2.0,Invalid
N/A,45.0,Male,166.0,101.0,20.24,Cardio,83.0,81.0,High,Vegetarian,6.2,0.7,6.0,N/A
U01633,22.0,Other,177.0,112.0,34.86,Yoga,56.0,75.0,Medium,Other,8.0,1.5,2.0,High
Unknown,30.0,N/A,172.0,112.0,22.53,Yoga,44.0,89.0,,,7.7,0.8,,Low
U01635,34.0,Male,165.0,66.0,21.78,Other,28.0,77.0,Other,Unknown,5.8,1.7,1.0,Medium
U01636,,Female,162.0,98.0,27.19,Yoga,,83.0,Medium,Mixed,7.0,2.0,6.0,Other
Unknown,62.0,Female,160.0,72.0,27.36,Yoga,47.0,64.0,Unknown,Mixed,7.6,2.2,3.0,Unknown
U01638,49.0,Male,166.0,62.0,25.76,Strength,28.0,96.0,Unknown,Other,5.2,1.9,3.0,Other
U01639,46.0,Male,166.0,72.0,31.24,N/A,31.0,82.0,Medium,Vegetarian,5.8,1.4,4.0,Unknown
Invalid,20.0,Male,151.0,106.0,27.02,Cardio,37.0,86.0,Other,Vegetarian,4.5,0.8,2.0,Low
Unknown,57.0,Invalid,162.0,,28.56,Yoga,110.0,71.0,Unknown,Other,8.9,1.1,3.0,N/A
,51.0,Male,163.0,103.0,30.44,Invalid,109.0,69.0,Low,Vegan,4.4,1.5,4.0,Invalid
U01643,57.0,Female,160.0,69.0,18.91,Strength,,93.0,Unknown,Other,4.8,2.8,4.0,Other
U01644,44.0,Male,177.0,101.0,27.92,Yoga,109.0,92.0,Low,Vegetarian,6.4,1.0,6.0,High
U01645,30.0,Invalid,159.0,72.0,33.09,Yoga,93.0,75.0,Low,Vegetarian,8.3,1.5,2.0,Medium
N/A,62.0,Male,152.0,84.0,18.79,Invalid,77.0,88.0,High,Mixed,5.8,2.3,2.0,N/A
U01647,50.0,Female,178.0,116.0,25.19,Cardio,100.0,77.0,Medium,Unknown,7.8,2.3,1.0,High
Other,23.0,N/A,176.0,83.0,33.78,Strength,70.0,86.0,Invalid,Other,7.4,2.9,,Medium
Other,,Other,166.0,82.0,24.33,Other,51.0,66.0,High,Mixed,7.2,1.0,4.0,High
U01650,36.0,Male,164.0,95.0,26.07,Strength,107.0,95.0,N/A,Vegetarian,8.2,0.5,1.0,Medium
Invalid,33.0,Female,158.0,94.0,34.7,Cardio,67.0,86.0,Low,Vegan,4.1,1.3,6.0,Medium
Invalid,57.0,N/A,159.0,68.0,21.79,Yoga,27.0,69.0,Invalid,Mixed,8.6,0.9,3.0,N/A
U01653,45.0,Male,157.0,64.0,19.58,Cardio,49.0,69.0,Unknown,Vegan,8.1,1.9,15.0,High
Other,50.0,Male,170.0,115.0,32.68,Strength,45.0,70.0,N/A,Vegetarian,8.7,2.7,15.0,Low
Other,,Female,,88.0,32.83,Cardio,43.0,89.0,Other,Vegetarian,8.0,2.2,4.0,Other
U01656,30.0,N/A,,67.0,26.29,Strength,46.0,62.0,Low,Invalid,8.4,0.8,1.0,N/A
U01657,99.0,N/A,167.0,119.0,,Unknown,,88.0,Low,Unknown,5.0,0.8,3.0,High
Invalid,62.0,Female,154.0,108.0,32.29,Cardio,111.0,73.0,Invalid,N/A,5.6,2.8,1.0,Other
U01659,42.0,Other,155.0,81.0,30.69,Unknown,94.0,72.0,Invalid,Vegan,5.6,1.7,,High
U01660,59.0,Male,179.0,,22.87,Other,58.0,78.0,High,Other,4.5,2.8,6.0,High
U01661,53.0,Male,166.0,89.0,18.78,Yoga,85.0,84.0,Other,Vegan,7.6,2.3,3.0,Medium
Unknown,44.0,Female,160.0,76.0,26.42,Other,70.0,69.0,N/A,Unknown,4.7,3.0,2.0,N/A
N/A,55.0,Female,169.0,51.0,32.67,Strength,92.0,74.0,Unknown,Vegetarian,4.3,2.7,6.0,Low
N/A,24.0,Male,165.0,88.0,33.28,Unknown,69.0,87.0,Invalid,Mixed,7.9,1.5,,High
N/A,22.0,Male,158.0,105.0,34.28,N/A,64.0,,Other,Vegan,8.5,2.4,3.0,N/A
U01666,60.0,Female,151.0,62.0,33.01,Cardio,106.0,97.0,Other,Mixed,7.8,1.7,6.0,Medium
U01667,62.0,Female,154.0,105.0,28.07,Strength,52.0,,High,Invalid,8.1,1.1,6.0,Invalid
U01668,48.0,N/A,150.0,115.0,25.84,Invalid,,73.0,Low,Unknown,,1.1,,Other
Unknown,40.0,Male,153.0,105.0,31.29,N/A,32.0,89.0,High,,8.4,1.5,1.0,N/A
N/A,59.0,Other,153.0,,30.71,Invalid,97.0,99.0,High,Unknown,,0.8,2.0,Low
U01671,27.0,Other,171.0,113.0,,N/A,115.0,71.0,Low,Vegetarian,8.9,0.9,3.0,Medium
U01672,49.0,Invalid,175.0,113.0,19.94,Invalid,41.0,87.0,Medium,Invalid,4.5,1.8,,
Other,60.0,Female,174.0,105.0,33.78,Yoga,39.0,73.0,Medium,Other,8.0,2.9,6.0,Medium
U01674,47.0,Female,152.0,90.0,26.02,Yoga,116.0,60.0,High,Invalid,7.2,1.9,3.0,Medium
U01675,56.0,Other,158.0,90.0,24.5,Cardio,24.0,63.0,Medium,Invalid,6.9,1.5,1.0,Invalid
U01676,48.0,Unknown,171.0,53.0,28.89,Strength,103.0,77.0,Low,Other,7.6,1.1,6.0,Invalid
U01677,35.0,Male,172.0,106.0,29.62,Other,,95.0,High,Unknown,8.2,1.0,3.0,N/A
U01678,53.0,Unknown,161.0,79.0,,Yoga,110.0,91.0,Low,Vegan,8.3,2.1,5.0,Low
U01679,19.0,N/A,159.0,95.0,32.31,Invalid,109.0,87.0,Medium,Vegetarian,4.9,2.6,2.0,Medium
N/A,31.0,Male,151.0,105.0,23.28,,51.0,87.0,N/A,Mixed,5.0,1.5,5.0,Invalid
U01681,30.0,Invalid,,80.0,21.58,Unknown,49.0,,High,Vegan,,1.9,5.0,High
Other,46.0,Other,159.0,56.0,25.21,Unknown,110.0,91.0,Medium,Unknown,4.7,2.3,,N/A
U01683,29.0,Female,179.0,103.0,30.55,Yoga,45.0,67.0,High,Unknown,5.3,0.6,3.0,Low
U01684,56.0,N/A,171.0,57.0,34.43,Strength,101.0,,Other,,7.6,1.4,2.0,
U01685,19.0,Unknown,155.0,104.0,31.85,Other,106.0,79.0,Low,Vegan,6.4,2.3,1.0,Medium
U01686,49.0,Female,167.0,118.0,34.02,N/A,107.0,92.0,Medium,Vegetarian,7.8,2.2,5.0,Low
U01687,30.0,Female,151.0,93.0,20.82,,23.0,,Invalid,Vegan,6.4,0.6,,High
U01688,63.0,Male,179.0,62.0,19.67,N/A,86.0,96.0,High,Vegan,6.8,1.1,5.0,Low
U01689,44.0,Male,151.0,69.0,27.7,Cardio,62.0,75.0,High,Vegan,4.6,2.2,3.0,N/A
U01690,58.0,Female,159.0,81.0,23.29,Cardio,49.0,84.0,Invalid,N/A,7.9,1.2,2.0,Unknown
U01691,34.0,N/A,165.0,109.0,32.16,Cardio,35.0,97.0,High,N/A,,2.5,6.0,High
U01692,57.0,Female,161.0,99.0,29.59,Invalid,90.0,69.0,Other,Other,5.5,0.6,4.0,Medium
U01693,48.0,Other,150.0,76.0,34.52,Cardio,58.0,64.0,Medium,Unknown,5.6,1.0,6.0,Invalid
U01694,51.0,Male,,74.0,22.7,Cardio,105.0,67.0,N/A,Vegan,5.1,1.2,3.0,Low
Unknown,41.0,Female,157.0,101.0,,N/A,60.0,92.0,N/A,Vegan,8.1,2.8,3.0,Medium
Other,62.0,Invalid,165.0,117.0,26.77,N/A,50.0,96.0,Low,Vegan,7.7,2.5,3.0,Invalid
N/A,52.0,N/A,167.0,70.0,22.45,Cardio,68.0,60.0,Invalid,Vegetarian,7.0,2.7,2.0,Invalid
Invalid,23.0,Invalid,162.0,67.0,28.24,Strength,32.0,90.0,Invalid,Other,15.0,1.6,3.0,Unknown
Invalid,36.0,Unknown,164.0,88.0,25.81,Cardio,60.0,66.0,Low,Unknown,4.9,2.6,1.0,High
,47.0,N/A,170.0,64.0,25.87,Strength,112.0,82.0,High,Vegetarian,4.3,2.6,1.0,Other
Unknown,24.0,Female,161.0,102.0,24.49,Strength,47.0,250.0,Unknown,Unknown,4.2,1.5,5.0,Low
Other,27.0,Unknown,157.0,87.0,,Invalid,83.0,73.0,Medium,N/A,4.9,3.0,5.0,N/A
U01703,58.0,Male,,97.0,27.11,Yoga,38.0,82.0,Medium,Other,4.5,2.6,2.0,Medium
U01704,,Female,,101.0,24.03,Cardio,106.0,68.0,N/A,Vegetarian,6.8,10.0,4.0,Medium
U01705,51.0,Male,154.0,77.0,18.52,Invalid,91.0,67.0,Low,Mixed,5.8,2.7,5.0,Medium
U01706,45.0,Female,167.0,65.0,23.58,Yoga,44.0,67.0,N/A,Other,6.2,2.4,5.0,Other
N/A,32.0,Other,168.0,65.0,23.1,Cardio,,62.0,High,Vegetarian,7.0,2.9,,
Invalid,47.0,Female,164.0,84.0,24.99,Unknown,118.0,91.0,Medium,N/A,7.3,1.5,6.0,Medium
